,year,month,category,count,month_index
0,2016,9,WBC,97,24201
1,2016,9,MNTLNARM,95,24201
2,2016,9,MENTPPRS,73,24201
3,2016,9,SUICIP,43,24201
4,2016,9,SUICTHRT,28,24201
5,2016,9,MNTLARM,24,24201
6,2016,10,MNTLNARM,330,24202
7,2016,10,WBC,275,24202
8,2016,10,MENTPPRS,204,24202
9,2016,10,SUICIP,121,24202
10,2016,10,SUICTHRT,98,24202
11,2016,10,MNTLARM,95,24202
12,2016,11,MNTLNARM,329,24203
13,2016,11,WBC,254,24203
14,2016,11,MENTPPRS,196,24203
15,2016,11,SUICIP,131,24203
16,2016,11,SUICTHRT,111,24203
17,2016,11,MNTLARM,90,24203
18,2016,12,MNTLNARM,321,24204
19,2016,12,WBC,284,24204
20,2016,12,MENTPPRS,183,24204
21,2016,12,SUICTHRT,136,24204
22,2016,12,SUICIP,131,24204
23,2016,12,MNTLARM,83,24204
24,2017,1,MNTLNARM,366,24205
25,2017,1,WBC,244,24205
26,2017,1,MENTPPRS,205,24205
27,2017,1,SUICTHRT,132,24205
28,2017,1,SUICIP,132,24205
29,2017,1,MNTLARM,93,24205
30,2017,2,MNTLNARM,342,24206
31,2017,2,WBC,237,24206
32,2017,2,MENTPPRS,164,24206
33,2017,2,SUICTHRT,123,24206
34,2017,2,SUICIP,94,24206
35,2017,2,MNTLARM,68,24206
36,2017,3,MNTLNARM,333,24207
37,2017,3,WBC,276,24207
38,2017,3,MENTPPRS,200,24207
39,2017,3,SUICTHRT,125,24207
40,2017,3,SUICIP,118,24207
41,2017,3,MNTLARM,98,24207
42,2017,4,MNTLNARM,328,24208
43,2017,4,WBC,240,24208
44,2017,4,MENTPPRS,170,24208
45,2017,4,SUICTHRT,131,24208
46,2017,4,MNTLARM,111,24208
47,2017,4,SUICIP,99,24208
48,2017,5,MNTLNARM,390,24209
49,2017,5,WBC,269,24209
50,2017,5,MENTPPRS,200,24209
51,2017,5,SUICTHRT,190,24209
52,2017,5,SUICIP,165,24209
53,2017,5,MNTLARM,122,24209
54,2017,6,MNTLNARM,32,24210
55,2017,6,WBC,27,24210
56,2017,6,MENTPPRS,27,24210
57,2017,6,SUICIP,17,24210
58,2017,6,MNTLARM,14,24210
59,2017,6,SUICTHRT,10,24210
60,2017,8,MNTLNARM,155,24212
61,2017,8,WBC,109,24212
62,2017,8,MENTPPRS,73,24212
63,2017,8,SUICIP,71,24212
64,2017,8,SUICTHRT,64,24212
65,2017,8,MNTLARM,42,24212
66,2017,9,MNTLNARM,353,24213
67,2017,9,WBC,257,24213
68,2017,9,MENTPPRS,169,24213
69,2017,9,SUICTHRT,150,24213
70,2017,9,SUICIP,123,24213
71,2017,9,MNTLARM,117,24213
72,2017,10,MNTLNARM,331,24214
73,2017,10,WBC,283,24214
74,2017,10,MENTPPRS,211,24214
75,2017,10,SUICTHRT,143,24214
76,2017,10,MNTLARM,105,24214
77,2017,10,SUICIP,91,24214
78,2017,11,MNTLNARM,316,24215
79,2017,11,WBC,271,24215
80,2017,11,MENTPPRS,190,24215
81,2017,11,SUICTHRT,162,24215
82,2017,11,SUICIP,118,24215
83,2017,11,MNTLARM,85,24215
84,2017,12,MNTLNARM,327,24216
85,2017,12,WBC,299,24216
86,2017,12,MENTPPRS,194,24216
87,2017,12,SUICIP,147,24216
88,2017,12,SUICTHRT,139,24216
89,2017,12,MNTLARM,97,24216
90,2018,1,WBC,345,24217
91,2018,1,MNTLNARM,333,24217
92,2018,1,MENTPPRS,226,24217
93,2018,1,SUICTHRT,167,24217
94,2018,1,MNTLARM,115,24217
95,2018,1,SUICIP,110,24217
96,2018,2,MNTLNARM,292,24218
97,2018,2,WBC,291,24218
98,2018,2,MENTPPRS,177,24218
99,2018,2,SUICTHRT,156,24218
100,2018,2,MNTLARM,109,24218
101,2018,2,SUICIP,100,24218
102,2018,3,MNTLNARM,354,24219
103,2018,3,WBC,327,24219
104,2018,3,MENTPPRS,211,24219
105,2018,3,SUICTHRT,184,24219
106,2018,3,SUICIP,120,24219
107,2018,3,MNTLARM,111,24219
108,2018,4,MNTLNARM,414,24220
109,2018,4,WBC,242,24220
110,2018,4,MENTPPRS,190,24220
111,2018,4,SUICTHRT,143,24220
112,2018,4,MNTLARM,130,24220
113,2018,4,SUICIP,110,24220
114,2018,5,MNTLNARM,410,24221
115,2018,5,WBC,283,24221
116,2018,5,MENTPPRS,225,24221
117,2018,5,SUICTHRT,205,24221
118,2018,5,MNTLARM,141,24221
119,2018,5,SUICIP,122,24221
120,2018,6,MNTLNARM,388,24222
121,2018,6,WBC,272,24222
122,2018,6,SUICTHRT,215,24222
123,2018,6,MENTPPRS,198,24222
124,2018,6,SUICIP,128,24222
125,2018,6,MNTLARM,117,24222
126,2018,7,MNTLNARM,414,24223
127,2018,7,WBC,303,24223
128,2018,7,MENTPPRS,196,24223
129,2018,7,SUICTHRT,192,24223
130,2018,7,SUICIP,127,24223
131,2018,7,MNTLARM,110,24223
132,2018,8,MNTLNARM,175,24224
133,2018,8,WBC,100,24224
134,2018,8,SUICTHRT,89,24224
135,2018,8,MENTPPRS,75,24224
136,2018,8,SUICIP,48,24224
137,2018,8,MNTLARM,45,24224
138,2018,10,MNTLNARM,311,24226
139,2018,10,WBC,293,24226
140,2018,10,SUICTHRT,174,24226
141,2018,10,MENTPPRS,139,24226
142,2018,10,MNTLARM,112,24226
143,2018,10,SUICIP,99,24226
144,2018,11,MNTLNARM,331,24227
145,2018,11,WBC,330,24227
146,2018,11,MENTPPRS,193,24227
147,2018,11,SUICTHRT,171,24227
148,2018,11,MNTLARM,104,24227
149,2018,11,SUICIP,93,24227
150,2018,12,MNTLNARM,348,24228
151,2018,12,WBC,319,24228
152,2018,12,SUICTHRT,218,24228
153,2018,12,MENTPPRS,180,24228
154,2018,12,SUICIP,134,24228
155,2018,12,MNTLARM,85,24228
156,2019,1,WBC,384,24229
157,2019,1,MNTLNARM,333,24229
158,2019,1,SUICTHRT,207,24229
159,2019,1,MENTPPRS,192,24229
160,2019,1,SUICIP,112,24229
161,2019,1,MNTLARM,89,24229
162,2019,2,MNTLNARM,306,24230
163,2019,2,WBC,295,24230
164,2019,2,MENTPPRS,204,24230
165,2019,2,SUICTHRT,202,24230
166,2019,2,SUICIP,100,24230
167,2019,2,MNTLARM,73,24230
168,2019,3,MNTLNARM,345,24231
169,2019,3,WBC,318,24231
170,2019,3,SUICTHRT,215,24231
171,2019,3,MENTPPRS,198,24231
172,2019,3,SUICIP,122,24231
173,2019,3,MNTLARM,92,24231
174,2019,4,MNTLNARM,374,24232
175,2019,4,WBC,350,24232
176,2019,4,MENTPPRS,187,24232
177,2019,4,SUICTHRT,176,24232
178,2019,4,SUICIP,99,24232
179,2019,4,MNTLARM,92,24232
180,2019,5,MNTLNARM,392,24233
181,2019,5,WBC,321,24233
182,2019,5,SUICTHRT,210,24233
183,2019,5,MENTPPRS,164,24233
184,2019,5,SUICIP,139,24233
185,2019,5,MNTLARM,109,24233
186,2019,6,MNTLNARM,380,24234
187,2019,6,WBC,373,24234
188,2019,6,MENTPPRS,203,24234
189,2019,6,SUICTHRT,185,24234
190,2019,6,SUICIP,132,24234
191,2019,6,MNTLARM,101,24234
192,2019,7,MNTLNARM,431,24235
193,2019,7,WBC,398,24235
194,2019,7,MENTPPRS,217,24235
195,2019,7,SUICTHRT,177,24235
196,2019,7,SUICIP,119,24235
197,2019,7,MNTLARM,106,24235
198,2019,8,WBC,182,24236
199,2019,8,MNTLNARM,177,24236
200,2019,8,SUICTHRT,102,24236
201,2019,8,MENTPPRS,76,24236
202,2019,8,SUICIP,68,24236
203,2019,8,MNTLARM,56,24236
204,2019,11,WBC,169,24239
205,2019,11,MNTLNARM,162,24239
206,2019,11,SUICTHRT,109,24239
207,2019,11,MENTPPRS,89,24239
208,2019,11,SUICIP,46,24239
209,2019,11,MNTLARM,37,24239
210,2019,12,WBC,347,24240
211,2019,12,MNTLNARM,345,24240
212,2019,12,SUICTHRT,187,24240
213,2019,12,MENTPPRS,186,24240
214,2019,12,SUICIP,122,24240
215,2019,12,MNTLARM,62,24240
216,2020,1,WBC,420,24241
217,2020,1,MNTLNARM,318,24241
218,2020,1,MENTPPRS,231,24241
219,2020,1,SUICTHRT,198,24241
220,2020,1,SUICIP,115,24241
221,2020,1,MNTLARM,103,24241
222,2020,2,WBC,355,24242
223,2020,2,MNTLNARM,347,24242
224,2020,2,MENTPPRS,203,24242
225,2020,2,SUICTHRT,192,24242
226,2020,2,SUICIP,101,24242
227,2020,2,MNTLARM,72,24242
228,2020,3,WBC,497,24243
229,2020,3,MNTLNARM,324,24243
230,2020,3,MENTPPRS,220,24243
231,2020,3,SUICTHRT,183,24243
232,2020,3,SUICIP,108,24243
233,2020,3,MNTLARM,74,24243
234,2020,4,WBC,524,24244
235,2020,4,MNTLNARM,290,24244
236,2020,4,MENTPPRS,188,24244
237,2020,4,SUICTHRT,133,24244
238,2020,4,SUICIP,90,24244
239,2020,4,MNTLARM,81,24244
240,2020,5,WBC,447,24245
241,2020,5,MNTLNARM,424,24245
242,2020,5,MENTPPRS,218,24245
243,2020,5,SUICTHRT,178,24245
244,2020,5,SUICIP,111,24245
245,2020,5,MNTLARM,91,24245
246,2020,6,WBC,454,24246
247,2020,6,MNTLNARM,438,24246
248,2020,6,MENTPPRS,181,24246
249,2020,6,SUICTHRT,165,24246
250,2020,6,SUICIP,122,24246
251,2020,6,MNTLARM,111,24246
252,2020,7,WBC,481,24247
253,2020,7,MNTLNARM,390,24247
254,2020,7,MENTPPRS,205,24247
255,2020,7,SUICTHRT,171,24247
256,2020,7,SUICIP,135,24247
257,2020,7,MNTLARM,130,24247
258,2020,8,WBC,499,24248
259,2020,8,MNTLNARM,377,24248
260,2020,8,MENTPPRS,204,24248
261,2020,8,SUICTHRT,187,24248
262,2020,8,SUICIP,148,24248
263,2020,8,MNTLARM,118,24248
264,2020,11,WBC,449,24251
265,2020,11,MNTLNARM,336,24251
266,2020,11,MENTPPRS,203,24251
267,2020,11,SUICTHRT,170,24251
268,2020,11,SUICIP,113,24251
269,2020,11,MNTLARM,106,24251
270,2020,12,WBC,540,24252
271,2020,12,MNTLNARM,345,24252
272,2020,12,SUICTHRT,206,24252
273,2020,12,MENTPPRS,200,24252
274,2020,12,SUICIP,123,24252
275,2020,12,MNTLARM,86,24252
276,2021,1,WBC,543,24253
277,2021,1,MNTLNARM,371,24253
278,2021,1,MENTPPRS,201,24253
279,2021,1,SUICTHRT,137,24253
280,2021,1,SUICIP,116,24253
281,2021,1,MNTLARM,82,24253
282,2021,2,WBC,474,24254
283,2021,2,MNTLNARM,325,24254
284,2021,2,SUICTHRT,149,24254
285,2021,2,MENTPPRS,145,24254
286,2021,2,SUICIP,106,24254
287,2021,2,MNTLARM,79,24254
288,2021,3,WBC,547,24255
289,2021,3,MNTLNARM,405,24255
290,2021,3,MENTPPRS,238,24255
291,2021,3,SUICTHRT,178,24255
292,2021,3,MNTLARM,99,24255
293,2021,3,SUICIP,94,24255
294,2021,4,WBC,530,24256
295,2021,4,MNTLNARM,378,24256
296,2021,4,MENTPPRS,230,24256
297,2021,4,SUICTHRT,181,24256
298,2021,4,MNTLARM,119,24256
299,2021,4,SUICIP,103,24256
300,2021,5,WBC,571,24257
301,2021,5,MNTLNARM,449,24257
302,2021,5,MENTPPRS,245,24257
303,2021,5,SUICTHRT,198,24257
304,2021,5,MNTLARM,133,24257
305,2021,5,SUICIP,100,24257
306,2021,6,WBC,576,24258
307,2021,6,MNTLNARM,414,24258
308,2021,6,MENTPPRS,237,24258
309,2021,6,SUICTHRT,201,24258
310,2021,6,SUICIP,144,24258
311,2021,6,MNTLARM,106,24258
312,2021,7,WBC,528,24259
313,2021,7,MNTLNARM,415,24259
314,2021,7,MENTPPRS,270,24259
315,2021,7,SUICTHRT,204,24259
316,2021,7,SUICIP,124,24259
317,2021,7,MNTLARM,92,24259
318,2021,8,WBC,603,24260
319,2021,8,MNTLNARM,394,24260
320,2021,8,MENTPPRS,279,24260
321,2021,8,SUICTHRT,250,24260
322,2021,8,SUICIP,131,24260
323,2021,8,MNTLARM,126,24260
324,2021,9,WBC,518,24261
325,2021,9,MNTLNARM,411,24261
326,2021,9,MENTPPRS,219,24261
327,2021,9,SUICTHRT,203,24261
328,2021,9,SUICIP,109,24261
329,2021,9,MNTLARM,86,24261
330,2021,10,WBC,556,24262
331,2021,10,MNTLNARM,368,24262
332,2021,10,MENTPPRS,242,24262
333,2021,10,SUICTHRT,231,24262
334,2021,10,SUICIP,101,24262
335,2021,10,MNTLARM,85,24262
336,2021,11,WBC,540,24263
337,2021,11,MNTLNARM,369,24263
338,2021,11,MENTPPRS,251,24263
339,2021,11,SUICTHRT,190,24263
340,2021,11,SUICIP,108,24263
341,2021,11,MNTLARM,81,24263
342,2021,12,WBC,505,24264
343,2021,12,MNTLNARM,359,24264
344,2021,12,MENTPPRS,237,24264
345,2021,12,SUICTHRT,227,24264
346,2021,12,MNTLARM,109,24264
347,2021,12,SUICIP,103,24264
348,2022,1,WBC,621,24265
349,2022,1,MNTLNARM,403,24265
350,2022,1,MENTPPRS,236,24265
351,2022,1,SUICTHRT,221,24265
352,2022,1,MNTLARM,95,24265
353,2022,1,SUICIP,79,24265
354,2022,2,WBC,510,24266
355,2022,2,MNTLNARM,364,24266
356,2022,2,MENTPPRS,261,24266
357,2022,2,SUICTHRT,230,24266
358,2022,2,MNTLARM,91,24266
359,2022,2,SUICIP,84,24266
360,2022,3,WBC,522,24267
361,2022,3,MNTLNARM,438,24267
362,2022,3,MENTPPRS,337,24267
363,2022,3,SUICTHRT,251,24267
364,2022,3,SUICIP,97,24267
365,2022,3,MNTLARM,96,24267
366,2022,4,WBC,596,24268
367,2022,4,MNTLNARM,451,24268
368,2022,4,MENTPPRS,249,24268
369,2022,4,SUICTHRT,231,24268
370,2022,4,SUICIP,100,24268
371,2022,4,MNTLARM,81,24268
372,2022,5,WBC,614,24269
373,2022,5,MNTLNARM,547,24269
374,2022,5,MENTPPRS,290,24269
375,2022,5,SUICTHRT,222,24269
376,2022,5,SUICIP,151,24269
377,2022,5,MNTLARM,130,24269
378,2022,6,WBC,636,24270
379,2022,6,MNTLNARM,468,24270
380,2022,6,MENTPPRS,265,24270
381,2022,6,SUICTHRT,234,24270
382,2022,6,SUICIP,158,24270
383,2022,6,MNTLARM,139,24270
384,2022,7,WBC,588,24271
385,2022,7,MNTLNARM,447,24271
386,2022,7,SUICTHRT,222,24271
387,2022,7,MENTPPRS,221,24271
388,2022,7,MNTLARM,150,24271
389,2022,7,SUICIP,137,24271
390,2022,8,WBC,636,24272
391,2022,8,MNTLNARM,440,24272
392,2022,8,MENTPPRS,280,24272
393,2022,8,SUICTHRT,238,24272
394,2022,8,MNTLARM,166,24272
395,2022,8,SUICIP,135,24272
396,2022,9,WBC,587,24273
397,2022,9,MNTLNARM,427,24273
398,2022,9,MENTPPRS,258,24273
399,2022,9,SUICTHRT,241,24273
400,2022,9,MNTLARM,138,24273
401,2022,9,SUICIP,119,24273
402,2022,10,WBC,151,24274
403,2022,10,MNTLNARM,115,24274
404,2022,10,SUICTHRT,73,24274
405,2022,10,MENTPPRS,58,24274
406,2022,10,SUICIP,31,24274
407,2022,10,MNTLARM,27,24274
408,2022,11,WBC,444,24275
409,2022,11,MNTLNARM,384,24275
410,2022,11,SUICTHRT,199,24275
411,2022,11,MENTPPRS,182,24275
412,2022,11,SUICIP,86,24275
413,2022,11,MNTLARM,84,24275
414,2022,12,WBC,483,24276
415,2022,12,MNTLNARM,353,24276
416,2022,12,MENTPPRS,201,24276
417,2022,12,SUICTHRT,183,24276
418,2022,12,MNTLARM,107,24276
419,2022,12,SUICIP,64,24276
420,2023,1,WBC,419,24277
421,2023,1,MNTLNARM,326,24277
422,2023,1,MENTPPRS,208,24277
423,2023,1,SUICTHRT,161,24277
424,2023,1,SUICIP,85,24277
425,2023,1,MNTLARM,83,24277
426,2023,2,WBC,437,24278
427,2023,2,MNTLNARM,332,24278
428,2023,2,MENTPPRS,202,24278
429,2023,2,SUICTHRT,166,24278
